label,total,orig_correct,ens_common_correct,orig_acc,ens_common_acc,delta
Agaricus xanthodermus,1,0,0,0.0000,0.0000,0.0000
Amanita augusta,1,0,0,0.0000,0.0000,0.0000
Amanita brunnescens,1,0,0,0.0000,0.0000,0.0000
Amanita calyptroderma,1,0,0,0.0000,0.0000,0.0000
Amanita citrina,2,0,1,0.0000,0.5000,0.5000
Amanita flavoconia,1,0,0,0.0000,0.0000,0.0000
Amanita muscaria,13,8,9,0.6154,0.6923,0.0769
Amanita pantherina,1,0,0,0.0000,0.0000,0.0000
Amanita rubescens,2,1,0,0.5000,0.0000,-0.5000
Apioperdon pyriforme,4,0,0,0.0000,0.0000,0.0000
Armillaria tabescens,3,0,2,0.0000,0.6667,0.6667
Artomyces pyxidatus,1,0,0,0.0000,0.0000,0.0000
Bjerkandera adusta,1,0,0,0.0000,0.0000,0.0000
Bolbitius titubans,2,0,0,0.0000,0.0000,0.0000
Boletus edulis,2,2,0,1.0000,0.0000,-1.0000
Boletus pallidus,1,0,0,0.0000,0.0000,0.0000
Calocera viscosa,1,1,1,1.0000,1.0000,0.0000
Calycina citrina,2,1,0,0.5000,0.0000,-0.5000
Cantharellus cinnabarinus,1,0,0,0.0000,0.0000,0.0000
Cerioporus squamosus,2,0,0,0.0000,0.0000,0.0000
Cetraria islandica,1,0,0,0.0000,0.0000,0.0000
Chlorophyllum brunneum,1,0,0,0.0000,0.0000,0.0000
Chlorophyllum molybdites,1,0,0,0.0000,0.0000,0.0000
Cladonia fimbriata,1,0,0,0.0000,0.0000,0.0000
Cladonia stellaris,1,0,0,0.0000,0.0000,0.0000
Coltricia perennis,1,0,0,0.0000,0.0000,0.0000
Coprinellus micaceus,1,0,0,0.0000,0.0000,0.0000
Cryptoporus volvatus,2,0,0,0.0000,0.0000,0.0000
Entoloma abortivum,1,0,0,0.0000,0.0000,0.0000
Evernia mesomorpha,1,1,1,1.0000,1.0000,0.0000
Evernia prunastri,3,0,0,0.0000,0.0000,0.0000
Flammulina velutipes,2,0,0,0.0000,0.0000,0.0000
Fomes fomentarius,9,2,3,0.2222,0.3333,0.1111
Fomitopsis betulina,3,0,0,0.0000,0.0000,0.0000
Fomitopsis mounceae,1,0,0,0.0000,0.0000,0.0000
Fomitopsis pinicola,9,0,0,0.0000,0.0000,0.0000
Galerina marginata,1,1,1,1.0000,1.0000,0.0000
Ganoderma applanatum,1,1,1,1.0000,1.0000,0.0000
Gliophorus psittacinus,1,0,0,0.0000,0.0000,0.0000
Graphis scripta,1,0,0,0.0000,0.0000,0.0000
Grifola frondosa,2,0,0,0.0000,0.0000,0.0000
Gyromitra esculenta,1,1,1,1.0000,1.0000,0.0000
Gyromitra gigas,3,1,1,0.3333,0.3333,0.0000
Gyromitra infula,1,1,1,1.0000,1.0000,0.0000
Hericium coralloides,2,1,2,0.5000,1.0000,0.5000
Hericium erinaceus,1,0,0,0.0000,0.0000,0.0000
Hygrophoropsis aurantiaca,3,1,1,0.3333,0.3333,0.0000
Hypholoma fasciculare,2,0,0,0.0000,0.0000,0.0000
Hypholoma lateritium,1,0,0,0.0000,0.0000,0.0000
Hypogymnia physodes,2,0,0,0.0000,0.0000,0.0000
Imleria badia,1,0,0,0.0000,0.0000,0.0000
Inonotus obliquus,1,0,0,0.0000,0.0000,0.0000
Ischnoderma resinosum,1,0,0,0.0000,0.0000,0.0000
Kuehneromyces mutabilis,3,0,0,0.0000,0.0000,0.0000
Laetiporus sulphureus,5,5,3,1.0000,0.6000,-0.4000
Leccinum albostipitatum,1,0,0,0.0000,0.0000,0.0000
Leccinum aurantiacum,4,0,0,0.0000,0.0000,0.0000
Leccinum scabrum,6,0,1,0.0000,0.1667,0.1667
Leucoagaricus americanus,2,0,1,0.0000,0.5000,0.5000
Leucoagaricus leucothites,1,0,0,0.0000,0.0000,0.0000
Lobaria pulmonaria,2,1,2,0.5000,1.0000,0.5000
Lycoperdon perlatum,3,3,3,1.0000,1.0000,0.0000
Macrolepiota procera,2,0,2,0.0000,1.0000,1.0000
Omphalotus illudens,1,0,0,0.0000,0.0000,0.0000
Omphalotus olivascens,1,0,0,0.0000,0.0000,0.0000
Panellus stipticus,1,0,0,0.0000,0.0000,0.0000
Parmelia sulcata,3,0,0,0.0000,0.0000,0.0000
Paxillus involutus,1,0,0,0.0000,0.0000,0.0000
Peltigera aphthosa,2,0,0,0.0000,0.0000,0.0000
Phaeolus schweinitzii,1,0,0,0.0000,0.0000,0.0000
Phellinus igniarius,1,0,0,0.0000,0.0000,0.0000
Pholiota aurivella,2,0,0,0.0000,0.0000,0.0000
Platismatia glauca,2,0,0,0.0000,0.0000,0.0000
Pleurotus pulmonarius,1,0,0,0.0000,0.0000,0.0000
Pseudevernia furfuracea,1,0,0,0.0000,0.0000,0.0000
Pseudohydnum gelatinosum,1,0,0,0.0000,0.0000,0.0000
Psilocybe cyanescens,1,0,0,0.0000,0.0000,0.0000
Psilocybe ovoideocystidiata,1,0,0,0.0000,0.0000,0.0000
Psilocybe pelliculosa,1,0,0,0.0000,0.0000,0.0000
Retiboletus ornatipes,1,0,0,0.0000,0.0000,0.0000
Rhytisma acerinum,1,0,0,0.0000,0.0000,0.0000
Sarcomyxa serotina,1,0,0,0.0000,0.0000,0.0000
Sarcoscypha austriaca,2,0,0,0.0000,0.0000,0.0000
Sarcosoma globosum,1,0,0,0.0000,0.0000,0.0000
Schizophyllum commune,3,1,2,0.3333,0.6667,0.3333
Stropharia ambigua,1,1,1,1.0000,1.0000,0.0000
Suillus americanus,1,0,0,0.0000,0.0000,0.0000
Suillus grevillei,1,0,0,0.0000,0.0000,0.0000
Suillus luteus,4,0,0,0.0000,0.0000,0.0000
Tapinella atrotomentosa,3,0,0,0.0000,0.0000,0.0000
Trametes ochracea,1,0,0,0.0000,0.0000,0.0000
Trametes versicolor,1,1,0,1.0000,0.0000,-1.0000
Tremella mesenterica,2,0,1,0.0000,0.5000,0.5000
Trichaptum biforme,2,0,0,0.0000,0.0000,0.0000
Tricholoma murrillianum,2,0,0,0.0000,0.0000,0.0000
Tricholomopsis rutilans,1,0,0,0.0000,0.0000,0.0000
Tylopilus felleus,1,0,0,0.0000,0.0000,0.0000
Tylopilus rubrobrunneus,1,0,0,0.0000,0.0000,0.0000
Urnula craterium,1,0,0,0.0000,0.0000,0.0000
Vulpicida pinastri,1,0,0,0.0000,0.0000,0.0000
Xanthoria parietina,12,12,11,1.0000,0.9167,-0.0833
